None,date,ticker,adj_close
2835,2015-06-10,ABC,104.41480088437
2836,2015-06-09,ABC,104.77005124141
2837,2015-06-08,ABC,105.8262009515
2838,2015-06-05,ABC,107.05517515961
2839,2015-06-04,ABC,107.04557379861
2840,2015-06-03,ABC,107.90009492769
2841,2015-06-02,ABC,107.9961085377
2842,2015-06-01,ABC,108.74501469576
2843,2015-05-29,ABC,108.0729194257
2844,2015-05-28,ABC,108.59139291975
2845,2015-05-27,ABC,109.06185960879
2846,2015-05-26,ABC,108.49537930974
2847,2015-05-22,ABC,109.26348818981
2848,2015-05-21,ABC,109.39790724382
2849,2015-05-20,ABC,110.13721204089
2850,2015-05-19,ABC,110.52126648092
2851,2015-05-18,ABC,108.79302150077
2852,2015-05-15,ABC,109.62833990784
2853,2015-05-14,ABC,110.08920523588
2854,2015-05-13,ABC,109.46669124368
2855,2015-05-12,ABC,110.1849766193
2856,2015-05-11,ABC,110.05089668252
2857,2015-05-08,ABC,110.42440507784
2858,2015-05-07,ABC,109.24641706183
2859,2015-05-06,ABC,109.23683992349
2860,2015-05-05,ABC,109.84977677735
2861,2015-05-04,ABC,110.37651938613
2862,2015-05-01,ABC,109.76358253227
2863,2015-04-30,ABC,109.46669124368
2864,2015-04-29,ABC,107.68534351216
2865,2015-04-28,ABC,109.14106854007
2866,2015-04-27,ABC,109.2847256152
2867,2015-04-24,ABC,110.59679356799
2868,2015-04-23,ABC,110.32863369442
2869,2015-04-22,ABC,108.99741146495
2870,2015-04-21,ABC,109.07402857168
2871,2015-04-20,ABC,108.40362888777
2872,2015-04-17,ABC,107.84815486397
2873,2015-04-16,ABC,109.01656574163
2874,2015-04-15,ABC,108.81544583646
2875,2015-04-14,ABC,109.17937709344
2876,2015-04-13,ABC,109.1697999551
2877,2015-04-10,ABC,110.47229076955
2878,2015-04-09,ABC,108.70052017636
2879,2015-04-08,ABC,108.45151457948
2880,2015-04-07,ABC,107.91519483236
2881,2015-04-06,ABC,107.78111489558
2882,2015-04-02,ABC,107.63745782045
2883,2015-04-01,ABC,107.29268084016
2884,2015-03-31,ABC,108.86333152817
