date,AAPL,AMZN,FB,GOOG,NFLX
2016-11-18,108.70059819918,760.16,117.02,760.54,115.21
2016-11-21,110.34997125926,780.0,121.77,769.2,117.96
2016-11-22,110.41910665699,785.33,121.47,768.27,118.04
2016-11-23,109.85614698978,780.12,120.84,760.99,117.69
2016-11-25,110.4092301716,780.37,120.38,761.68,117.41
2016-11-28,110.19194749303001,766.77,120.41,768.24,116.93
2016-11-29,110.08330615373998,762.52,120.87,770.84,117.51
2016-11-30,109.15491652711,750.57,118.42,758.04,117.0
2016-12-01,108.13763853196998,743.65,115.1,747.92,117.22
2016-12-02,108.54257443295,740.34,115.4,750.5,120.81
2016-12-05,107.76233208715999,759.36,117.43,762.52,119.16
2016-12-06,108.5919568599,764.72,117.31,759.11,124.57
2016-12-07,109.65861728198,770.42,117.95,771.19,125.39
2016-12-08,110.73515418946,767.33,118.91,776.42,123.24
2016-12-09,112.54255101578,768.66,119.68,789.29,122.88
2016-12-12,111.90057946545,760.12,117.77,789.27,122.83
2016-12-13,113.76723520411001,774.34,120.31,796.1,123.78
2016-12-14,113.76723520411001,768.82,120.21,797.07,123.44
2016-12-15,114.38945378366002,761.0,120.57,797.85,125.0
2016-12-16,114.53760106450001,757.77,119.87,790.8,124.22
2016-12-19,115.19932558561001,766.0,119.24,794.2,125.45
2016-12-20,115.50549663269,771.22,119.09,796.42,125.12
2016-12-21,115.61413797198,770.6,119.04,794.56,126.5
2016-12-22,114.85364859696999,766.34,117.4,791.26,125.58
2016-12-23,115.08080776094,760.59,117.27,789.91,125.59
2016-12-27,115.81166767978,771.4,118.01,791.55,128.35
2016-12-28,115.31784341029,772.13,116.92,785.05,125.89
2016-12-29,115.28821395411998,765.15,116.35,782.79,125.33
2016-12-30,114.38945378366002,749.87,115.05,771.82,123.8
2017-01-03,114.71537780152,753.67,116.86,786.14,127.49
2017-01-04,114.58698349145,757.18,118.69,786.9,129.41
2017-01-05,115.16969612943998,780.45,120.67,794.02,131.81
2017-01-06,116.45363923011001,795.99,123.41,806.15,131.07
2017-01-09,117.5202996522,796.92,124.9,806.65,130.95
2017-01-10,117.63881747687,795.9,124.35,804.79,129.89
2017-01-11,118.27091254181002,799.02,126.09,807.91,130.5
2017-01-12,117.77708827233,813.64,126.62,806.36,129.18
2017-01-13,117.56968207915001,817.14,128.34,807.88,133.7
2017-01-17,118.51782467656,809.72,127.87,804.61,132.89
2017-01-18,118.50794819116999,807.48,127.92,806.07,133.26
2017-01-19,118.30054199798,809.04,127.55,802.175,138.41
2017-01-20,118.51782467656,808.33,127.04,805.02,138.6
2017-01-23,118.59683655968,817.88,128.93,819.31,137.39
2017-01-24,118.48819522039,822.44,129.37,823.87,140.11
